ticker,fecha,hora_et,direccion,estrategia
IWM,2022-06-03,12:30,CALL,TR-UD-15m intradia
IWM,2022-06-03,14:30,CALL,TR-UD-15m intradia
IWM,2022-06-22,14:15,CALL,TR-UD-15m intradia
IWM,2022-06-23,11:15,CALL,TR-UD-15m intradia
IWM,2022-06-30,12:30,CALL,TR-UD-15m intradia
IWM,2022-07-01,10:00,CALL,TR-UD-15m intradia
IWM,2022-07-01,10:30,PUT,TR-UD-15m intradia
IWM,2022-07-01,12:30,CALL,TR-UD-15m intradia
IWM,2022-07-05,13:30,CALL,TR-UD-15m intradia
IWM,2022-07-08,12:45,PUT,TR-UD-15m intradia
IWM,2022-07-13,13:15,CALL,TR-UD-15m intradia
IWM,2022-07-13,15:30,PUT,TR-UD-15m intradia
IWM,2022-07-19,09:45,CALL,TR-UD-15m intradia
IWM,2022-07-21,09:45,PUT,TR-UD-15m intradia
IWM,2022-07-21,14:30,CALL,TR-UD-15m intradia
IWM,2022-07-22,11:45,PUT,TR-UD-15m intradia
IWM,2022-07-25,13:15,CALL,TR-UD-15m intradia
IWM,2022-07-26,09:45,PUT,TR-UD-15m intradia
IWM,2022-08-01,09:45,PUT,TR-UD-15m intradia
IWM,2022-08-01,12:30,CALL,TR-UD-15m intradia
IWM,2022-08-02,12:15,CALL,TR-UD-15m intradia
IWM,2022-08-03,12:00,CALL,TR-UD-15m intradia
IWM,2022-08-09,09:45,PUT,TR-UD-15m intradia
IWM,2022-08-18,11:30,CALL,TR-UD-15m intradia
IWM,2022-08-18,14:15,CALL,TR-UD-15m intradia
IWM,2022-08-26,10:15,PUT,TR-UD-15m intradia
IWM,2022-09-02,15:45,PUT,TR-UD-15m intradia
IWM,2022-09-14,15:15,PUT,TR-UD-15m intradia
IWM,2022-09-15,09:45,CALL,TR-UD-15m intradia
IWM,2022-09-27,12:15,PUT,TR-UD-15m intradia
IWM,2022-10-05,14:45,CALL,TR-UD-15m intradia
IWM,2022-10-06,14:00,CALL,TR-UD-15m intradia
IWM,2022-10-11,12:30,CALL,TR-UD-15m intradia
IWM,2022-10-12,13:15,CALL,TR-UD-15m intradia
IWM,2022-10-20,12:15,PUT,TR-UD-15m intradia
IWM,2022-10-27,10:00,PUT,TR-UD-15m intradia
IWM,2022-10-27,12:30,PUT,TR-UD-15m intradia
IWM,2022-10-27,13:15,CALL,TR-UD-15m intradia
IWM,2022-10-28,11:45,CALL,TR-UD-15m intradia
IWM,2022-11-04,12:00,PUT,TR-UD-15m intradia
IWM,2022-11-08,14:00,PUT,TR-UD-15m intradia
IWM,2022-11-14,13:30,CALL,TR-UD-15m intradia
IWM,2022-11-14,15:15,PUT,TR-UD-15m intradia
IWM,2022-11-25,12:30,CALL,TR-UD-15m intradia
IWM,2022-11-29,13:30,PUT,TR-UD-15m intradia
IWM,2022-11-29,15:30,PUT,TR-UD-15m intradia
IWM,2022-11-30,12:15,PUT,TR-UD-15m intradia
IWM,2022-12-02,14:15,PUT,TR-UD-15m intradia
IWM,2022-12-09,10:00,PUT,TR-UD-15m intradia
IWM,2022-12-09,12:30,PUT,TR-UD-15m intradia
IWM,2022-12-09,15:45,PUT,TR-UD-15m intradia
IWM,2022-12-12,11:30,CALL,TR-UD-15m intradia
IWM,2022-12-13,15:45,CALL,TR-UD-15m intradia
IWM,2022-12-19,11:45,PUT,TR-UD-15m intradia
IWM,2022-12-20,12:30,PUT,TR-UD-15m intradia
IWM,2022-12-20,13:30,CALL,TR-UD-15m intradia
IWM,2022-12-23,10:45,CALL,TR-UD-15m intradia
IWM,2022-12-27,09:45,PUT,TR-UD-15m intradia
IWM,2023-01-03,11:45,PUT,TR-UD-15m intradia
IWM,2023-01-04,11:45,CALL,TR-UD-15m intradia
IWM,2023-01-17,15:15,CALL,TR-UD-15m intradia
IWM,2023-01-18,11:30,PUT,TR-UD-15m intradia
IWM,2023-01-20,09:45,CALL,TR-UD-15m intradia
IWM,2023-01-24,13:45,CALL,TR-UD-15m intradia
IWM,2023-01-25,14:15,CALL,TR-UD-15m intradia
IWM,2023-01-31,09:45,CALL,TR-UD-15m intradia
IWM,2023-02-03,15:45,PUT,TR-UD-15m intradia
IWM,2023-02-08,10:45,PUT,TR-UD-15m intradia
IWM,2023-02-08,14:00,PUT,TR-UD-15m intradia
IWM,2023-02-14,14:45,CALL,TR-UD-15m intradia
IWM,2023-02-15,11:15,CALL,TR-UD-15m intradia
IWM,2023-02-15,13:30,CALL,TR-UD-15m intradia
IWM,2023-02-16,09:45,PUT,TR-UD-15m intradia
IWM,2023-02-22,13:15,PUT,TR-UD-15m intradia
IWM,2023-02-23,12:00,PUT,TR-UD-15m intradia
IWM,2023-02-28,09:45,CALL,TR-UD-15m intradia
IWM,2023-03-02,14:00,CALL,TR-UD-15m intradia
IWM,2023-03-09,09:45,CALL,TR-UD-15m intradia
IWM,2023-03-09,11:00,PUT,TR-UD-15m intradia
IWM,2023-03-13,15:30,PUT,TR-UD-15m intradia
IWM,2023-03-22,11:45,PUT,TR-UD-15m intradia
IWM,2023-03-30,15:30,CALL,TR-UD-15m intradia
